1, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
95, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
96, idas:desert_camp/desert_camp, HEADING, header:ignore, 0, 0, 0
97, idas:desert_camp/desert_camp_bygwindswept, HEADING, header:ignore, 0, 0, 0
98, idas:desert_camp/desert_camp_orange, HEADING, header:ignore, 0, 0, 0
99, idas:desert_camp/desert_camp_red, HEADING, header:ignore, 0, 0, 0
100, formationsoverworld:desert_houses, HEADING, header:ignore, 0, 0, 0
101, idas:desert_market/desert_market, HEADING, header:ignore, 0, 0, 0
102, idas:desert_market/desert_market_orange, HEADING, header:ignore, 0, 0, 0
103, idas:desert_market/desert_market_red, HEADING, header:ignore, 0, 0, 0
104, betterarcheology:desert_obelisk, HEADING, header:ignore, 0, 0, 0
105, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
106, dungeons_enhanced:desert_temple, HEADING, header:ignore, 0, 0, 0
107, dungeons_enhanced:desert_tomb, HEADING, header:ignore, 0, 0, 0
108, dungeons_enhanced:druid_circle, HEADING, header:ignore, 0, 0, 0
109, dungeons_enhanced:dungeon_variant, HEADING, header:ignore, 0, 0, 0
110, dungeons_enhanced:elders_temple, HEADING, header:ignore, 0, 0, 0
111, dungeons_enhanced:elders_temple, MONSTER, minecraft:guardian, 10, 2, 4
112, idas:enchantingtower, HEADING, header:ignore, 0, 0, 0
113, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
114, mes:ender_spire, HEADING, header:ignore, 0, 0, 0
115, mes:enderbloom_grove, HEADING, header:ignore, 0, 0, 0
116, mes:enderkeep_courtyard, HEADING, header:ignore, 0, 0, 0
117, mes:enderpin_spikes, HEADING, header:ignore, 0, 0, 0
118, mes:enderskog, HEADING, header:ignore, 0, 0, 0
119, mes:enderwatch_tower, HEADING, header:ignore, 0, 0, 0
120, mes:endscraps, HEADING, header:ignore, 0, 0, 0
121, verdantvibes:fairy_circle, HEADING, header:ignore, 0, 0, 0
122, idas:farmhouse, HEADING, header:ignore, 0, 0, 0
123, formationsoverworld:farmland_field, HEADING, header:ignore, 0, 0, 0
124, structory:firetower, HEADING, header:ignore, 0, 0, 0
125, idas:fishermans_lodge, HEADING, header:ignore, 0, 0, 0
126, dungeons_enhanced:fishing_ship, HEADING, header:ignore, 0, 0, 0
127, formationsnether:flaming_pillar, HEADING, header:ignore, 0, 0, 0
128, dungeons_enhanced:flying_dutchman, HEADING, header:ignore, 0, 0, 0
129, medieval_buildings:fort, HEADING, header:ignore, 0, 0, 0
130, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
131, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
132, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
133, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
134, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
135, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
136, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
137, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
138, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
139, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
140, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
141, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
142, stellarity:fossil, HEADING, header:ignore, 0, 0, 0
143, betterarcheology:fossil_chicken, HEADING, header:ignore, 0, 0, 0
144, betterarcheology:fossil_chicken_birch, HEADING, header:ignore, 0, 0, 0
145, betterarcheology:fossil_creeper, HEADING, header:ignore, 0, 0, 0
146, betterarcheology:fossil_jungle_0, HEADING, header:ignore, 0, 0, 0
147, betterarcheology:fossil_jungle_1, HEADING, header:ignore, 0, 0, 0
148, betterarcheology:fossil_sheep_0, HEADING, header:ignore, 0, 0, 0
149, betterarcheology:fossil_wolf, HEADING, header:ignore, 0, 0, 0
150, formationsoverworld:fountain, HEADING, header:ignore, 0, 0, 0
151, caupona:fumarole, HEADING, header:ignore, 0, 0, 0
152, mvs:gallows, HEADING, header:ignore, 0, 0, 0
153, aether:gold_dungeon, HEADING, header:ignore, 0, 0, 0
154, formationsoverworld:graveyard, HEADING, header:ignore, 0, 0, 0
155, structory:graveyard, HEADING, header:ignore, 0, 0, 0
156, the_bumblezone:hanging_garden, HEADING, header:ignore, 0, 0, 0
157, idas:haunted_manor, HEADING, header:ignore, 0, 0, 0
158, idas:haunted_manor, MONSTER, quark:wraith, 10, 3, 4
159, dungeons_enhanced:hay_storage, HEADING, header:ignore, 0, 0, 0
160, idas:hermits_hollow, HEADING, header:ignore, 0, 0, 0
161, the_bumblezone:hive_temple, HEADING, header:ignore, 0, 0, 0
162, the_bumblezone:hive_temple, CREATURE, the_bumblezone:honey_slime, 10, 1, 1
163, formationsoverworld:hobbit_hole, HEADING, header:ignore, 0, 0, 0
164, the_bumblezone:honey_cave_room, HEADING, header:ignore, 0, 0, 0
165, the_bumblezone:honey_cave_room, CREATURE, the_bumblezone:beehemoth, 10, 1, 1
166, the_bumblezone:honey_fountain, HEADING, header:ignore, 0, 0, 0
167, the_bumblezone:honey_slime_ranch, HEADING, header:ignore, 0, 0, 0
168, the_bumblezone:honitel, HEADING, header:ignore, 0, 0, 0
169, the_bumblezone:honitel, CREATURE, minecraft:bee, 10, 1, 1
170, mvs:horse_pen, HEADING, header:ignore, 0, 0, 0
171, medieval_buildings:house_1, HEADING, header:ignore, 0, 0, 0
172, medieval_buildings:house_2, HEADING, header:ignore, 0, 0, 0
173, mvs:houses/azelea_house, HEADING, header:ignore, 0, 0, 0
174, mvs:houses/barn, HEADING, header:ignore, 0, 0, 0
175, mvs:houses/deepslate_house, HEADING, header:ignore, 0, 0, 0
176, mvs:houses/desert_house, HEADING, header:ignore, 0, 0, 0
177, mvs:houses/flower_hole, HEADING, header:ignore, 0, 0, 0
178, mvs:houses/house, HEADING, header:ignore, 0, 0, 0
179, mvs:houses/large_floating_island, HEADING, header:ignore, 0, 0, 0
180, mvs:houses/large_warped_tower, HEADING, header:ignore, 0, 0, 0
181, mvs:houses/medium_igloo_1, HEADING, header:ignore, 0, 0, 0
182, mvs:houses/medium_igloo_2, HEADING, header:ignore, 0, 0, 0
183, mvs:houses/small_igloo, HEADING, header:ignore, 0, 0, 0
184, mvs:houses/small_swamp_house, HEADING, header:ignore, 0, 0, 0
185, mvs:houses/tall_house, HEADING, header:ignore, 0, 0, 0
186, mvs:houses/warped_house, HEADING, header:ignore, 0, 0, 0
187, idas:hunters_cabin, HEADING, header:ignore, 0, 0, 0
188, the_bumblezone:ice_monolith, HEADING, header:ignore, 0, 0, 0
189, dungeons_enhanced:ice_pit, HEADING, header:ignore, 0, 0, 0
190, idas:iceandfire/dread_citadel, HEADING, header:ignore, 0, 0, 0
191, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
192, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 10, 1, 1
193, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
194, friendsandfoes:illusioner_shack, HEADING, header:ignore, 0, 0, 0
195, friendsandfoes:illusioner_shack, MONSTER, minecraft:illusioner, 10, 1, 1
196, friendsandfoes:illusioner_training_grounds, HEADING, header:ignore, 0, 0, 0
197, friendsandfoes:illusioner_training_grounds, MONSTER, minecraft:illusioner, 10, 1, 1
198, friendsandfoes:illusioner_training_grounds, MONSTER, minecraft:pillager, 10, 1, 2
199, dungeons_enhanced:jungle_monument, HEADING, header:ignore, 0, 0, 0
200, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
201, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
202, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
203, mvs:jungle_tower, HEADING, header:ignore, 0, 0, 0
204, eidolon:lab, HEADING, header:ignore, 0, 0, 0
205, idas:labyrinth, HEADING, header:ignore, 0, 0, 0
206, deep_aether:lake_oasis, HEADING, header:ignore, 0, 0, 0
207, deep_aether:lake_oasis, CREATURE, minecraft:pig, 10, 4, 10
208, mvs:lantern/medium_oak_lantern, HEADING, header:ignore, 0, 0, 0
209, mvs:lantern/small_acacia_lantern, HEADING, header:ignore, 0, 0, 0
210, mvs:lantern/small_bamboo_lantern, HEADING, header:ignore, 0, 0, 0
211, mvs:lantern/small_birch_lantern, HEADING, header:ignore, 0, 0, 0
212, mvs:lantern/small_campfire_lantern, HEADING, header:ignore, 0, 0, 0
213, mvs:lantern/small_cherry_lantern, HEADING, header:ignore, 0, 0, 0
214, mvs:lantern/small_dark_oak_lantern, HEADING, header:ignore, 0, 0, 0
215, mvs:lantern/small_jungle_lantern, HEADING, header:ignore, 0, 0, 0
216, mvs:lantern/small_mangrove_lantern, HEADING, header:ignore, 0, 0, 0
217, mvs:lantern/small_oak_lantern, HEADING, header:ignore, 0, 0, 0
218, mvs:lantern/small_spruce_lantern, HEADING, header:ignore, 0, 0, 0
219, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
220, ctov:large/village_beach, CREATURE, mythicmounts:firebird, 30, 1, 1
221, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
222, ctov:large/village_dark_forest, CREATURE, mythicmounts:firebird, 30, 1, 1
223, ctov:large/village_desert, HEADING, header:ignore, 0, 0, 0
224, ctov:large/village_desert, CREATURE, mythicmounts:firebird, 30, 1, 1
225, ctov:large/village_jungle, HEADING, header:ignore, 0, 0, 0
226, ctov:large/village_jungle, CREATURE, mythicmounts:firebird, 30, 1, 1
227, ctov:large/village_mesa, HEADING, header:ignore, 0, 0, 0
228, ctov:large/village_mesa, CREATURE, mythicmounts:firebird, 30, 1, 1
229, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
230, ctov:large/village_mountain, CREATURE, mythicmounts:firebird, 30, 1, 1
231, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
232, ctov:large/village_mushroom, CREATURE, mythicmounts:firebird, 30, 1, 1
233, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
234, ctov:large/village_plains, CREATURE, mythicmounts:firebird, 30, 1, 1
235, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
236, ctov:large/village_savanna, CREATURE, mythicmounts:firebird, 30, 1, 1
237, ctov:large/village_snowy, HEADING, header:ignore, 0, 0, 0
238, ctov:large/village_snowy, CREATURE, mythicmounts:firebird, 30, 1, 1
239, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
240, ctov:large/village_swamp, CREATURE, mythicmounts:firebird, 30, 1, 1
241, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
242, ctov:large/village_underground, HEADING, header:ignore, 0, 0, 0
243, aether:large_aercloud, HEADING, header:ignore, 0, 0, 0
244, dungeons_enhanced:large_dungeon, HEADING, header:ignore, 0, 0, 0
245, formationsnether:large_house, HEADING, header:ignore, 0, 0, 0
246, formationsnether:large_pedestal, HEADING, header:ignore, 0, 0, 0
247, formationsoverworld:large_temple, HEADING, header:ignore, 0, 0, 0
248, formationsnether:large_tree, HEADING, header:ignore, 0, 0, 0
249, betterarcheology:light_temple, HEADING, header:ignore, 0, 0, 0
250, mvs:log_pile/acacia_log_pile, HEADING, header:ignore, 0, 0, 0
251, mvs:log_pile/birch_log_pile, HEADING, header:ignore, 0, 0, 0
252, mvs:log_pile/dark_oak_log_pile, HEADING, header:ignore, 0, 0, 0
253, mvs:log_pile/jungle_log_pile, HEADING, header:ignore, 0, 0, 0
254, mvs:log_pile/oak_log_pile, HEADING, header:ignore, 0, 0, 0
255, mvs:log_pile/spruce_log_pile, HEADING, header:ignore, 0, 0, 0
256, formationsoverworld:log_shelter, HEADING, header:ignore, 0, 0, 0
257, formationsoverworld:log_spikes, HEADING, header:ignore, 0, 0, 0
258, meadow:logging_camp, HEADING, header:ignore, 0, 0, 0
259, meadow:logging_camp, CREATURE, minecraft:pig, 10, 1, 4
260, idas:lumber_camp/lumber_camp_acacia, HEADING, header:ignore, 0, 0, 0
261, idas:lumber_camp/lumber_camp_birch, HEADING, header:ignore, 0, 0, 0
262, idas:lumber_camp/lumber_camp_bopmahogany, HEADING, header:ignore, 0, 0, 0
263, idas:lumber_camp/lumber_camp_bopredwood, HEADING, header:ignore, 0, 0, 0
264, idas:lumber_camp/lumber_camp_bygmahogany, HEADING, header:ignore, 0, 0, 0
265, idas:lumber_camp/lumber_camp_bygredwood, HEADING, header:ignore, 0, 0, 0
266, idas:lumber_camp/lumber_camp_dark_oak, HEADING, header:ignore, 0, 0, 0
267, idas:lumber_camp/lumber_camp_jungle, HEADING, header:ignore, 0, 0, 0
268, idas:lumber_camp/lumber_camp_oak, HEADING, header:ignore, 0, 0, 0
269, idas:lumber_camp/lumber_camp_spruce, HEADING, header:ignore, 0, 0, 0
270, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
271, mes:manuscript_shrine, HEADING, header:ignore, 0, 0, 0
272, ctov:medium/village_beach, HEADING, header:ignore, 0, 0, 0
273, ctov:medium/village_beach, CREATURE, mythicmounts:firebird, 30, 1, 1
274, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
275, ctov:medium/village_dark_forest, CREATURE, mythicmounts:firebird, 30, 1, 1
276, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
277, ctov:medium/village_desert, CREATURE, mythicmounts:firebird, 30, 1, 1
278, ctov:medium/village_jungle, HEADING, header:ignore, 0, 0, 0
279, ctov:medium/village_jungle, CREATURE, mythicmounts:firebird, 30, 1, 1
280, ctov:medium/village_mesa, HEADING, header:ignore, 0, 0, 0
281, ctov:medium/village_mesa, CREATURE, mythicmounts:firebird, 30, 1, 1
282, ctov:medium/village_mountain, HEADING, header:ignore, 0, 0, 0
283, ctov:medium/village_mountain, CREATURE, mythicmounts:firebird, 30, 1, 1
284, ctov:medium/village_mushroom, HEADING, header:ignore, 0, 0, 0
285, ctov:medium/village_mushroom, CREATURE, mythicmounts:firebird, 30, 1, 1
286, ctov:medium/village_plains, HEADING, header:ignore, 0, 0, 0
287, ctov:medium/village_plains, CREATURE, mythicmounts:firebird, 30, 1, 1
288, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
289, ctov:medium/village_savanna, CREATURE, mythicmounts:firebird, 30, 1, 1
290, ctov:medium/village_snowy, HEADING, header:ignore, 0, 0, 0
291, ctov:medium/village_snowy, CREATURE, mythicmounts:firebird, 30, 1, 1
292, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
293, ctov:medium/village_swamp, CREATURE, mythicmounts:firebird, 30, 1, 1
294, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
295, ctov:medium/village_underground, HEADING, header:ignore, 0, 0, 0
296, betterarcheology:mesa_ruins, HEADING, header:ignore, 0, 0, 0
297, formationsoverworld:mesoamerican_temple, HEADING, header:ignore, 0, 0, 0
298, formationsoverworld:meteor, HEADING, header:ignore, 0, 0, 0
299, dungeons_enhanced:miners_house, HEADING, header:ignore, 0, 0, 0
300, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
301, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
302, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
303, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
304, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
305, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
306, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
307, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
308, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
309, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
310, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
311, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
312, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
313, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
314, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
315, mes:monolith, HEADING, header:ignore, 0, 0, 0
316, dungeons_enhanced:monster_maze, HEADING, header:ignore, 0, 0, 0
317, meadow:monument, HEADING, header:ignore, 0, 0, 0
318, meadow:monument, CREATURE, minecraft:pig, 10, 1, 4
319, minecraft:monument, HEADING, header:ignore, 0, 0, 0
320, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
321, betterarcheology:mott, HEADING, header:ignore, 0, 0, 0
322, dungeons_enhanced:mushroom_house, HEADING, header:ignore, 0, 0, 0
323, mes:mythic_garden, HEADING, header:ignore, 0, 0, 0
324, mvs:nature/acacia_tree, HEADING, header:ignore, 0, 0, 0
325, mvs:nature/big_oak_tree, HEADING, header:ignore, 0, 0, 0
326, mvs:nature/birch_tree, HEADING, header:ignore, 0, 0, 0
327, mvs:nature/boulder, HEADING, header:ignore, 0, 0, 0
328, mvs:nature/cherry_tree, HEADING, header:ignore, 0, 0, 0
329, mvs:nature/dark_oak_tree, HEADING, header:ignore, 0, 0, 0
330, mvs:nature/floating_islands, HEADING, header:ignore, 0, 0, 0
331, mvs:nature/jungle_palm_tree, HEADING, header:ignore, 0, 0, 0
332, mvs:nature/jungle_tree, HEADING, header:ignore, 0, 0, 0
333, mvs:nature/large_mushroom, HEADING, header:ignore, 0, 0, 0
334, mvs:nature/mushroom_pond, HEADING, header:ignore, 0, 0, 0
335, mvs:nature/oak_tree, HEADING, header:ignore, 0, 0, 0
336, mvs:nature/paths, HEADING, header:ignore, 0, 0, 0
337, mvs:nature/small_oak_pond, HEADING, header:ignore, 0, 0, 0
338, mvs:nature/spruce_tree, HEADING, header:ignore, 0, 0, 0
339, mvs:nature/stone_rock, HEADING, header:ignore, 0, 0, 0
340, idas:necromancers_spire, HEADING, header:ignore, 0, 0, 0
341, idas:necromancers_spire, MONSTER, quark:wraith, 10, 1, 1
342, netherdepthsupgrade:nether_fortress_piece, HEADING, header:ignore, 0, 0, 0
343, netherdepthsupgrade:nether_fortress_piece, WATER_AMBIENT, netherdepthsupgrade:blazefish, 10, 3, 4
344, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
345, formationsnether:nether_wart_field, HEADING, header:ignore, 0, 0, 0
346, idas:nexus, HEADING, header:ignore, 0, 0, 0
347, idas:nexus, MONSTER, minecraft:silverfish, 10, 1, 4
348, idas:nexus, MONSTER, quark:wraith, 10, 1, 4
349, forbidden_arcanus:nipa, HEADING, header:ignore, 0, 0, 0
350, forbidden_arcanus:nipa_floating, HEADING, header:ignore, 0, 0, 0
351, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
352, verdantvibes:oak_overgrown_hut, HEADING, header:ignore, 0, 0, 0
353, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
354, bakery:oat_field, CREATURE, minecraft:pig, 10, 1, 4
355, meadow:observation_post, HEADING, header:ignore, 0, 0, 0
356, meadow:observation_post, CREATURE, minecraft:pig, 10, 1, 4
357, formationsnether:obsidian_pillar, HEADING, header:ignore, 0, 0, 0
358, stellarity:obsidian_spike, HEADING, header:ignore, 0, 0, 0
359, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
360, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
361, formationsoverworld:offering, HEADING, header:ignore, 0, 0, 0
362, structory:old_manor, HEADING, header:ignore, 0, 0, 0
363, stellarity:old_stronghold, HEADING, header:ignore, 0, 0, 0
364, formationsnether:ore_shard, HEADING, header:ignore, 0, 0, 0
365, mvs:other_decoration/bee_dome, HEADING, header:ignore, 0, 0, 0
366, mvs:other_decoration/bench, HEADING, header:ignore, 0, 0, 0
367, mvs:other_decoration/campsite, HEADING, header:ignore, 0, 0, 0
368, mvs:other_decoration/crimson_enchanting_table, HEADING, header:ignore, 0, 0, 0
369, mvs:other_decoration/desert_pump, HEADING, header:ignore, 0, 0, 0
370, mvs:other_decoration/duck, HEADING, header:ignore, 0, 0, 0
371, mvs:other_decoration/end_scraps/end_scraps_1, HEADING, header:ignore, 0, 0, 0
372, mvs:other_decoration/end_scraps/end_scraps_2, HEADING, header:ignore, 0, 0, 0
373, mvs:other_decoration/end_scraps/end_scraps_3, HEADING, header:ignore, 0, 0, 0
374, mvs:other_decoration/end_scraps/end_scraps_4, HEADING, header:ignore, 0, 0, 0
375, mvs:other_decoration/fire_camp, HEADING, header:ignore, 0, 0, 0
376, mvs:other_decoration/fox_hut, HEADING, header:ignore, 0, 0, 0
377, mvs:other_decoration/haystack, HEADING, header:ignore, 0, 0, 0
378, mvs:other_decoration/horse_campsite, HEADING, header:ignore, 0, 0, 0
379, mvs:other_decoration/lamp_chest, HEADING, header:ignore, 0, 0, 0
380, mvs:other_decoration/lecturn_garden, HEADING, header:ignore, 0, 0, 0
381, mvs:other_decoration/mine_with_campsite, HEADING, header:ignore, 0, 0, 0
